id,nome,posição,idade,data_nascimento,nacionalidade,time,id_liga,liga,total_chutes,chutes_no_gol,gols,gols_sofridos,assistências,defesas,total_passes,passes_chaves,índice_passes_certos,desarmes,dribles_tentados,dribles_realizados,faltas_sofridas,faltas_cometidas,total_jogos,minutos_jogados,jogos_escalados,chutes/min,chutes_no_gol/min,gols/min,sofridos/min,assistências/min,defesas/min,passes/min,passes_chaves/min,desarmes/min,dribles_tentados/min,dribles_realizados/min,faltas_sofridas/min,faltas_cometidas/min
103777,Edixson Antonio González Peroza,Goalkeeper,31,13/01/1990,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,846,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52920,Luis Adrián Martínez Olivo,Defender,28,14/07/1993,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,1294,15,0.0,0.0,0.0015455950540958269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52961,Karin Alfredo Saab Pomonti,Defender,20,11/01/2001,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1118,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52956,Julio César Machado Cesario,Defender,39,19/06/1982,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1011,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52958,Anthonys Gabriel Matos Rivero,Defender,26,06/10/1995,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,1890,21,0.0,0.0,0.0010582010582010583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103783,Danny Leonel Hernández Bucobo,Defender,20,18/07/2001,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,1508,17,0.0,0.0,0.000663129973474801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52954,Christian Anthony Gómez Vargas,Defender,22,23/02/1999,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,686,8,0.0,0.0,0.0014577259475218659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52966,Argenis José Gómez Ortega,Midfielder,34,23/11/1987,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,625,8,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52972,Ely Antonio Valderrey Medino,Midfielder,35,29/04/1986,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1449,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52967,Nelson Antonio Hernández Bellorín,Midfielder,29,08/07/1992,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1458,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52801,Josmar Jesús Zambrano Suárez,Midfielder,29,09/06/1992,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,656,7,0.0,0.0,0.001524390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52970,Arnold Alexander López Salazar,Midfielder,27,24/11/1994,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,458,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52973,Richard José Blanco Delgado,Attacker,39,21/01/1982,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,1634,19,0.0,0.0,0.0055079559363525096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52942,Darwin de Jesús Gómez Rivas,Attacker,30,24/10/1991,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,1227,13,0.0,0.0,0.0032599837000814994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71096,Brayan Yohangel Hurtado Cortesía,Attacker,22,21/06/1999,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,1214,14,0.0,0.0,0.004118616144975288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199541,Andrés Eduardo Saavedra Brito,Attacker,20,20/03/2001,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,718,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52913,Tito Daniel  Rojas Rojas,Goalkeeper,33,11/10/1987,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1248,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52914,Giancarlo Schiavone Modica,Goalkeeper,27,02/11/1993,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,540,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52777,Albert José González Zamora,Defender,24,20/09/1996,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,853,9,0.0,0.0,0.0023446658851113715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52919,Andrés Enrique Ferro Peña,Defender,19,02/08/2001,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1438,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52921,Steven Jesús Pabón Delgao,Defender,19,25/07/2001,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,520,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52567,Luis Enrique Colmenarez Gutiérrez,Defender,32,26/09/1988,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1111,11,0.0,0.0,0.0009000900090009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52918,Leonardo José Falcón Rosales,Defender,32,20/08/1988,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,772,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52917,Leminger Alcides Bolívar Echarry,Defender,30,18/02/1990,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,725,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52922,Renier Alexander Rodríguez González,Defender,36,25/03/1984,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,697,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53022,Néstor José Gabriel Cova Meneses,Defender,25,02/05/1995,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,675,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52931,Christian Adán Larotonda Adán,Midfielder,21,26/05/1999,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1038,11,0.0,0.0,0.0009633911368015414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52925,Abraham Bahachille García,Midfielder,19,01/03/2001,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1353,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53147,Evelio de Jesús Hernández Guedez,Midfielder,36,18/06/1984,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,977,10,0.0,0.0,0.0010235414534288639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12228,Johan Orlano Moreno Vivas,Midfielder,29,10/06/1991,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,6,0,0,0,0,0,0,0,0,0,0,0,17,1005,14,0.0,0.0,0.005970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52927,Jonathan Fernando Castillo Aguirre,Midfielder,19,07/01/2001,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,421,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52930,Robinson Daniel Flores Barrios,Midfielder,22,14/04/1998,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1213,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52786,Luis Andrés González González,Midfielder,27,27/06/1993,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,624,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52625,Luis Ángel Martell Castillo,Midfielder,26,07/10/1994,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,578,5,0.0,0.0,0.0017301038062283738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52932,Juan Ernesto Mancín Salami,Midfielder,20,31/01/2000,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,433,5,0.0,0.0,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52946,Daniel Alejandro Pérez Córdova,Attacker,18,17/01/2002,Venezuela,Metropolitanos FC,1350.0,Liga Venezuela,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,727,9,0.0,0.0,0.009628610729023384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
